timestamp,fx,fy,fz,tx,ty,tz
35.9431073,-0.0895141,0.1195601,-0.4481699,0.0050315,0.0004435,-0.0009412
35.9441073,-0.0812997,0.1173371,-0.3631494,0.0052167,-0.0002707,-0.0008318
35.9451073,-0.0635250,0.0797349,-0.4491837,0.0047280,-0.0009039,-0.0007053
35.9461073,-0.0500729,0.1040568,-0.4356127,0.0039240,-0.0012216,-0.0008626
35.9471073,-0.0509754,0.1196764,-0.4661904,0.0043912,-0.0025243,-0.0007949
35.9481073,0.0188326,0.0788491,-0.4372385,0.0037369,-0.0029331,-0.0010971
35.9491073,-0.0227410,0.0868671,-0.3847143,0.0036477,-0.0034136,-0.0011575
35.9501073,0.0206440,0.0706354,-0.3873668,0.0033476,-0.0035050,-0.0013931
35.9511073,0.0491111,0.0963012,-0.3211034,0.0030685,-0.0042118,-0.0019987
35.9521073,0.0069441,0.0739361,-0.4558465,0.0026936,-0.0043455,-0.0011863
35.9531073,0.0552877,0.0587185,-0.4111123,0.0014096,-0.0050490,-0.0016441
35.9541073,0.0200737,0.0498800,-0.5278031,0.0014785,-0.0048583,-0.0010590
35.9551073,0.0473006,0.0345113,-0.4797231,0.0010322,-0.0050883,-0.0012772
35.9561073,0.0563559,0.0524579,-0.4621812,0.0011982,-0.0059176,-0.0010374
35.9571073,0.0361793,-0.0089355,-0.4955673,0.0011811,-0.0050797,-0.0010437
35.9581073,0.0316758,0.0334587,-0.4472858,0.0006986,-0.0047716,-0.0010322
35.9591073,0.0564177,-0.0107591,-0.4144491,0.0005109,-0.0050617,-0.0014867
35.9601073,0.0451539,0.0103294,-0.3834759,-0.0004809,-0.0056362,-0.0015601
35.9611073,0.1007708,0.0291533,-0.4824855,0.0006884,-0.0066861,-0.0006544
35.9621073,0.0790245,-0.0130636,-0.4845739,-0.0005035,-0.0073455,-0.0011257
35.9631073,0.1122494,0.0200438,-0.5164207,0.0001059,-0.0083810,-0.0011378
35.9641073,0.1021458,-0.0382957,-0.4846458,-0.0001996,-0.0072559,-0.0009660
35.9651073,0.0800711,0.0167429,-0.4507027,-0.0004170,-0.0074492,-0.0011159
35.9661073,0.0463134,0.0062681,-0.5342857,-0.0007111,-0.0070721,-0.0014586
35.9671073,0.0959859,-0.0528445,-0.4354301,-0.0008166,-0.0074785,-0.0014189
35.9681073,0.0457273,-0.0206310,-0.4999910,-0.0007461,-0.0077135,-0.0014443
35.9691073,0.0377293,-0.0533774,-0.6351025,-0.0012231,-0.0081263,-0.0016481
35.9701073,0.0212022,-0.0275045,-0.5846594,-0.0011815,-0.0071372,-0.0018665
35.9711073,-0.0417732,-0.0457671,-0.6496876,-0.0008634,-0.0055665,-0.0016515
35.9721073,-0.0299021,-0.0392055,-0.7022296,-0.0014917,-0.0062468,-0.0017519
35.9731073,-0.0324560,-0.0666175,-0.6231787,-0.0030546,-0.0060376,-0.0025099
35.9741073,0.0434469,-0.0881136,-0.5869165,-0.0050459,-0.0042044,-0.0014092
35.9751073,0.0649254,-0.0678891,-0.7008335,-0.0038790,-0.0053333,-0.0007433
35.9761073,0.0834307,-0.0897314,-0.8012241,-0.0042393,-0.0074676,-0.0010139
35.9771073,0.0994659,-0.0592746,-0.6814987,-0.0036196,-0.0077724,-0.0012058
35.9781073,0.1132716,-0.0453892,-0.6266324,-0.0026494,-0.0087089,-0.0015744
35.9791073,0.1203634,-0.0583262,-0.6423737,-0.0024190,-0.0091397,-0.0015780
35.9801073,0.1050914,-0.0601075,-0.8132804,-0.0029797,-0.0085781,-0.0009375
35.9811073,0.1126440,-0.0862589,-0.7625965,-0.0030293,-0.0083407,-0.0016992
35.9821073,0.1215448,-0.0597209,-0.7792159,-0.0027997,-0.0088034,-0.0011593
35.9831073,0.1481741,-0.0539627,-0.7799867,-0.0029203,-0.0093124,-0.0014736
