Value,Mode,Port,Timestamp Sent,Timestamp Received
29.0,1.0,1.0,55315.0,1761785527107.6284
29.0,1.0,2.0,55460.0,1761785527108.0586
29.0,1.0,3.0,55900.0,1761785527108.477
29.0,1.0,4.0,55086.0,1761785527108.9944
29.0,1.0,5.0,56145.0,1761785527109.4526
29.0,1.0,6.0,56002.0,1761785527109.8733
28.0,1.0,7.0,56140.0,1761785527110.2493
126.0,0.0,0.0,55465.0,1761785527110.742
29.0,0.0,1.0,55321.0,1761785527111.2502
29.0,0.0,2.0,55466.0,1761785527111.6462
29.0,0.0,3.0,55903.0,1761785527112.038
29.0,0.0,4.0,55093.0,1761785527112.4856
29.0,0.0,5.0,56156.0,1761785527112.9026
29.0,0.0,6.0,56002.0,1761785527113.3582
28.0,0.0,7.0,56139.0,1761785527114.0261
126.0,1.0,0.0,55479.0,1761785527114.5344
29.0,1.0,1.0,55314.0,1761785527114.9858
29.0,1.0,2.0,55457.0,1761785527115.5295
29.0,1.0,3.0,55888.0,1761785527115.9158
29.0,1.0,4.0,55073.0,1761785527116.332
29.0,1.0,5.0,56148.0,1761785527116.6748
29.0,1.0,6.0,55995.0,1761785527117.0195
28.0,1.0,7.0,56139.0,1761785527117.3855
126.0,0.0,0.0,55463.0,1761785527117.7666
29.0,0.0,1.0,55310.0,1761785527118.098
29.0,0.0,2.0,55459.0,1761785527118.419
29.0,0.0,3.0,55899.0,1761785527118.7427
29.0,0.0,4.0,55079.0,1761785527119.0994
29.0,0.0,5.0,56143.0,1761785527119.4646
29.0,0.0,6.0,55994.0,1761785527119.8184
28.0,0.0,7.0,56144.0,1761785527120.2498
126.0,1.0,0.0,55466.0,1761785527120.6204
29.0,1.0,1.0,55302.0,1761785527120.994
29.0,1.0,2.0,55456.0,1761785527121.4346
29.0,1.0,3.0,55890.0,1761785527121.882
29.0,1.0,4.0,55078.0,1761785527122.2686
29.0,1.0,5.0,56144.0,1761785527122.8394
28.0,1.0,6.0,55993.0,1761785527123.3093
29.0,1.0,7.0,56142.0,1761785527123.805
126.0,0.0,0.0,55462.0,1761785527124.21
29.0,0.0,1.0,55303.0,1761785527124.6772
29.0,0.0,2.0,55454.0,1761785527125.0557
29.0,0.0,3.0,55896.0,1761785527125.4272
29.0,0.0,4.0,55069.0,1761785527125.777
29.0,0.0,5.0,56146.0,1761785527126.119
29.0,0.0,6.0,56005.0,1761785527126.5042
28.0,0.0,7.0,56141.0,1761785527126.8564
126.0,1.0,0.0,55471.0,1761785527127.1997
29.0,1.0,1.0,55315.0,1761785527127.5305
29.0,1.0,2.0,55457.0,1761785527127.8923
29.0,1.0,3.0,55881.0,1761785527128.2227
