c1normal,c2normal,c3normal,c4normal,c1shear,c2shear,c3shear,c4shear,timestamp
112577.000,112645.000,112202.000,112198.000,-523.000,-324.000,-68.000,547.000,1761203749.872
112579.000,112630.000,112198.000,112191.000,-521.000,-336.000,-78.000,537.000,1761203749.924
112592.000,112633.000,112222.000,112215.000,-531.000,-327.000,-76.000,528.000,1761203749.975
112624.000,112666.000,112223.000,112214.000,-512.000,-339.000,-52.000,523.000,1761203750.027
112606.000,112644.000,112252.000,112201.000,-521.000,-343.000,-78.000,540.000,1761203750.079
112596.000,112647.000,112247.000,112251.000,-516.000,-348.000,-76.000,540.000,1761203750.130
112616.000,112650.000,112247.000,112217.000,-506.000,-327.000,-76.000,560.000,1761203750.182
112593.000,112636.000,112215.000,112213.000,-525.000,-327.000,-69.000,555.000,1761203750.234
112606.000,112652.000,112214.000,112203.000,-502.000,-327.000,-94.000,542.000,1761203750.286
112637.000,112675.000,112222.000,112229.000,-495.000,-341.000,-64.000,529.000,1761203750.337
112597.000,112644.000,112227.000,112255.000,-505.000,-351.000,-61.000,540.000,1761203750.388
112582.000,112619.000,112199.000,112235.000,-492.000,-342.000,-76.000,540.000,1761203750.440
112574.000,112622.000,112221.000,112248.000,-500.000,-342.000,-95.000,537.000,1761203750.492
112603.000,112654.000,112211.000,112189.000,-491.000,-340.000,-76.000,542.000,1761203750.543
112628.000,112648.000,112213.000,112208.000,-498.000,-333.000,-64.000,518.000,1761203750.595
112578.000,112627.000,112195.000,112218.000,-517.000,-355.000,-86.000,537.000,1761203750.647
112571.000,112665.000,112208.000,112187.000,-502.000,-331.000,-88.000,510.000,1761203750.698
112593.000,112636.000,112215.000,112200.000,-483.000,-330.000,-81.000,539.000,1761203750.750
112603.000,112670.000,112192.000,112205.000,-497.000,-324.000,-77.000,543.000,1761203750.801
112578.000,112620.000,112192.000,112192.000,-504.000,-343.000,-79.000,523.000,1761203750.853
112572.000,112622.000,112188.000,112182.000,-508.000,-341.000,-67.000,531.000,1761203750.905
112571.000,112636.000,112185.000,112194.000,-521.000,-322.000,-82.000,543.000,1761203750.956
112599.000,112635.000,112244.000,112285.000,-500.000,-338.000,-66.000,542.000,1761203751.008
112623.000,112642.000,112256.000,112233.000,-508.000,-329.000,-89.000,525.000,1761203751.060
112613.000,112658.000,112233.000,112213.000,-505.000,-348.000,-58.000,536.000,1761203751.111
112609.000,112620.000,112224.000,112231.000,-518.000,-333.000,-67.000,549.000,1761203751.163
112592.000,112636.000,112219.000,112209.000,-515.000,-330.000,-76.000,549.000,1761203751.214
112581.000,112640.000,112194.000,112196.000,-507.000,-330.000,-77.000,522.000,1761203751.266
112620.000,112636.000,112210.000,112218.000,-505.000,-333.000,-68.000,544.000,1761203751.318
112612.000,112656.000,112232.000,112242.000,-507.000,-357.000,-59.000,540.000,1761203751.370
112584.000,112640.000,112259.000,112253.000,-507.000,-331.000,-86.000,536.000,1761203751.421
112606.000,112632.000,112229.000,112228.000,-500.000,-342.000,-68.000,521.000,1761203751.472
112582.000,112637.000,112180.000,112204.000,-507.000,-325.000,-68.000,542.000,1761203751.524
112566.000,112617.000,112205.000,112218.000,-507.000,-347.000,-75.000,545.000,1761203751.576
112583.000,112618.000,112277.000,112223.000,-505.000,-340.000,-67.000,526.000,1761203751.627
112547.000,112650.000,112329.000,112274.000,-509.000,-344.000,-67.000,539.000,1761203751.679
112576.000,112675.000,112403.000,112244.000,-482.000,-328.000,-84.000,557.000,1761203751.730
112506.000,112688.000,112648.000,112268.000,-502.000,-346.000,-94.000,547.000,1761203751.782
112503.000,112729.000,112875.000,112328.000,-493.000,-342.000,-86.000,539.000,1761203751.834
112487.000,112708.000,112680.000,112291.000,-518.000,-326.000,-82.000,541.000,1761203751.885
112579.000,112710.000,112674.000,112317.000,-497.000,-347.000,-93.000,535.000,1761203751.937
112550.000,112709.000,112755.000,112326.000,-510.000,-341.000,-82.000,519.000,1761203751.989
112530.000,112724.000,112808.000,112355.000,-504.000,-342.000,-74.000,503.000,1761203752.041
112544.000,112761.000,112889.000,112367.000,-501.000,-344.000,-43.000,536.000,1761203752.092
112553.000,112764.000,112843.000,112359.000,-497.000,-377.000,-67.000,544.000,1761203752.144
112588.000,112842.000,112734.000,112269.000,-500.000,-357.000,-96.000,527.000,1761203752.195
112530.000,112892.000,112785.000,112175.000,-494.000,-372.000,-94.000,538.000,1761203752.247
112472.000,112914.000,113061.000,112160.000,-491.000,-350.000,-112.000,514.000,1761203752.298
112334.000,112894.000,113190.000,112113.000,-489.000,-365.000,-145.000,528.000,1761203752.350
